noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Cluster
alpenhorn,0.03023297,0.38160697,0.88609943,0.90769914,0.0,0.65971318,0.0,0.0,0.0,-0.97402871,-1.83085704,0
alpha,-0.33049124,0.47231194,0.79382777,0.89094162,0.0,0.48360017,0.45839918,0.0,-0.5624342,-0.93572992,-1.93140781,0
alphabet,2.06046575,0.42995003,0.9542563,0.96631959,0.0,0.71251863,0.36312056,0.0,0.0,-0.75040984,-0.61528951,0
altar,0.47095695,0.0,0.93867257,0.90742156,0.0,0.32182926,0.45174888,0.0,0.0,-0.87884265,-1.26987267,0
alteration,-0.38039079,0.0,0.92280319,0.90382403,0.0,0.97051138,0.41482711,0.0,0.0,-0.92371029,-2.66864622,0
alternative,-1.33443871,0.37834421,0.90604973,0.89922771,0.0,0.45344135,0.0,-0.60809964,0.0,-0.84576225,-2.51763982,2
altitude,0.6222212,0.0,0.82265365,0.95653754,0.0,0.34382284,0.39022854,0.0,0.0,-0.92923969,-0.96178168,0
alto,2.37074599,0.45017004,0.84613976,0.95526391,0.0,0.83525792,0.26782849,0.0,0.0,-0.98391414,0.0,0
aluminium,0.34764498,0.0,0.86413428,0.74405608,0.0,0.75002807,0.48629427,0.0,-0.63707447,-0.93339318,-0.92640007,0
aluminum,0.89104801,0.0,0.85364392,0.82552233,0.0,0.63018909,0.48735622,0.0,0.0,-0.93598992,-0.96967363,0
amazement,2.47065237,0.2751714,0.84328449,0.87859136,0.0,0.95231184,0.45416641,0.0,0.0,-0.93287313,0.0,0
amazon,0.40838805,0.80527323,0.83645001,0.94901145,0.0,0.72432029,0.3940748,0.0,0.0,-0.9674738,-2.33326793,0
ambassador,-0.49204111,0.31529143,0.77564615,0.74880436,0.0,0.31746155,0.0,-0.7348001,0.0,-0.95109409,-0.96335042,2
amber,0.56717345,0.27212352,0.88100031,0.9418698,0.0,0.85942757,0.48701787,0.0,0.0,-0.9376049,-1.93666071,0
ambience,2.67693746,0.27323252,0.87274018,0.92665976,0.0,0.9480423,0.45298481,0.0,0.0,-0.79672211,0.0,0
ambiguity,0.63042644,0.0,0.90133157,0.96008307,0.0,0.82368338,0.48758316,0.0,0.0,-0.85543936,-1.68681538,0
ambition,0.37110299,0.26854283,0.85431519,0.8602781,0.0,0.79586875,0.42044461,0.0,0.0,-0.95271558,-1.87563092,0
ambulance,0.40646124,0.42517751,0.94895461,0.91918001,0.0,0.74426964,0.2610037,0.0,0.0,-0.96932662,-1.92279762,0
amendment,-0.41017765,0.0,0.89141911,0.89522684,0.0,0.90922669,0.43298957,0.0,0.0,-0.88386726,-2.65517259,0
amenity,1.98208645,0.26990321,0.93345627,0.93519029,0.0,0.95457074,0.44716409,0.0,0.0,-0.97427267,-0.58392549,0
ammunition,-0.53033927,0.0,0.89068088,0.9165107,0.0,0.84640995,0.48875281,0.0,0.0,-0.93242794,-2.74026567,0
amnesty,1.52466008,0.0,0.89539197,0.95618933,0.0,0.93565202,0.37420189,0.0,0.0,-0.96586257,-0.67091256,0
amount,-0.40912446,0.0,0.8364343,0.92371085,0.0,0.0,0.44530249,0.0,0.0,-0.92330933,-1.69126278,0
